society,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,facing,agePossession,BHK,Location,Total Floors,Servant_Room,Study_Room,Pooja_Room,Store_Room,Carpet_Area,Built_Up_Area,Super_BuiltUp_Area,piped_gas,waste_disposal,shopping_centre,intercom,power_backup,central_ac,wifi,garden,community,staff,water_storage,visitor_parking,lift,vaastu,security,swimming,gym,luxury_score,Hospital,Mall,Mandir/Church,ATM,Bank,School,College,Metro Station,Airport,Hotel,AC,Wardrobe,Microwave,Fridge,Stove,Curtains,Water Purifier,TV,Modular Kitchen,Geyser,Dining Table,Washing Machine,Exhaust Fan,Chimney,Light,Sofa,Fan,Bed,furnishing_type,area
Maxworth City Residences,80,6400,2,3,2,9,,New Property,2, Sector 10A Gurgaon,12,0,0,0,0,1250,,,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1,0,1,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0125
Deepak Minda,125,4715,4,4,3,6,,Moderately Old,4, Sector 1A IMT Manesar,10,0,0,0,0,2651,,,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,28,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.026511135
Shree Shyam residency,23,5000,1,1,1,2,South,Relatively New,1, Block A Surya Vihar,4,0,0,0,0,460,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0046
Pivotal Devaan,30,6666,1,1,1,14,,New Property,1, Sector 84 Gurgaon,14,0,0,0,0,450,,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,13,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.00450045
Unitech The Residences,155,9872,3,4,1,1,South,Relatively New,3, Sector 33 Gurgaon,11,1,0,0,0,,,1570,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,20,0,1,0,0,0,0,1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015700972
CHD Avenue ,79,6594,2,2,2,8,South-East,Relatively New,2, Sector 71 Gurgaon,14,0,0,0,0,,,1198,,,,,,,,,,,,,,,,,,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.011980588
"Gokuldham Society, Bahadurgarh",50,5555,2,2,2,2,,Moderately Old,2, Sector-7 Housing Board,2,0,0,0,1,750,,900,,,,,,,,,,,,,,,,,,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0090009
Silverglades The Melia,101,7000,2,2,3,12,,Under Construction,2, Sohna,12,0,1,0,0,950,,1450,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,34,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.014428571
Sare Crescent Parc Royal Greens Phase ,95,5007,4,5,3,4,,Moderately Old,4, Sector 92 Gurgaon,14,1,0,0,0,,,1897,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018973437
Umang Winter Hills,99,7857,2,2,2,1,North,Relatively New,2, Sector 77 Gurgaon,18,0,0,0,0,1000,,1260,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,29,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012600229
Ramprastha Skyz,110,6376,3,3,3,7,East,Under Construction,3, Sector 37D Gurgaon,19,0,0,0,0,,,1725,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017252196
S Aradhya Homes,190,8863,4,4,3,3,,New Property,4, Sector 67A Gurgaon,4,0,0,0,0,,,2200,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1,1,0,0,0,1,1,0,1,1,0,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0.021437437
ILD Greens,100,4320,3,3,3,5,North,Under Construction,3, Sector 37C Gurgaon,20,0,0,0,0,,,1875,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,23,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023148148
